,IB-industry,IB-longName,IB-marketName,IB-ISIN,IB-Symbol
0,Communications,1ST GROUP LTD,1ST,AU0000001ST0,1ST
1,"Consumer, Non-cyclical",2U INC,NMS,US90214J1016,TWOU
2,Industrial,3DX INDUSTRIES INC,CURRENT,US88556A1007,DDDX
3,Industrial,3M CO,MMM,US88579Y1010,MMM
4,"Consumer, Non-cyclical",MARLEY SPOON AG-CDI,MMM,AU0000013070,MMM
5,Basic Materials,MINCO CAPITAL CORP,MMM,CA6025321036,MMM
6,Basic Materials,MINING MINERALS & METALS PLC,SSQ3,GB00BF7L9148,MMM
7,Energy,88 ENERGY LTD,88E,AU00000088E2,88E
8,Financial,A CLASSIFIED AD INC,AQFD,US00089Y1091,AQFD
9,Communications,BIRDMAN INC,7063,JP3160590000,7063
10,Industrial,A P MOLLER-MAERSK-B-UNSP ADR,LIMITED,US00202F1021,AMKBY
11,Industrial,A TOUTE VITESSE-ATV,MLATV,FR0010050773,MLATV
12,,A-TEC INDUSTRIES AG,AKH,AT0000A1ZH55,AKH
13,Financial,AKER HORIZONS ASA,AKH,NO0010921232,AKH
14,Industrial,HGH HOLDINGS LTD,5GZ,SG1S12926576,5GZ
15,Industrial,AAC TECHNOLOGIES HOLDINGS IN,2018,KYG2953R1149,2018
16,"Consumer, Cyclical",GFOOT CO LTD,2686,JP3536900008,2686
17,Energy,AAG ENERGY HOLDINGS LTD,2686,KYG000371040,2686
18,Industrial,AAON INC,NMS,US0003602069,AAON
19,Financial,AAREAL BANK AG-UNSPON ADR,CURRENT,US00254K1088,AAALY
20,Industrial,AARON INDUSTRIES LTD,AARON,INE721Z01010,AARON
21,"Consumer, Non-cyclical",AARTI DRUGS LIMITED,AARTIDRUG,INE767A01016,AARTIDRUG
22,,AARTI DRUGS LIMITED - SPINOFF,AARTIDRUG,INARDR300920,AARTIDRUG
23,Basic Materials,AARTI INDUSTRIES LIMITED,AARTIIND,INE769A01020,AARTIIND
24,Financial,AAVAS FINANCIERS LTD,AAVAS,INE216P01012,AAVAS
25,"Consumer, Non-cyclical",AB DYNAMICS PLC,ASQ1,GB00B9GQVG73,ABDP
26,"Consumer, Cyclical",AB INTERNATIONAL GROUP CORP,ABQQ,US00083U2024,ABQQ
27,Financial,AB&T FINANCIAL CORP,ABTO,US00037W1062,ABTO
28,Financial,ABACUS PROPERTY GROUP,ABP,AU000000ABP9,ABP
29,"Consumer, Cyclical",PANERA BREAD COMPANY-CLASS A,XETRA,US69840W1080,ABP
30,Financial,ABAKAN INC,ABKI,US00258J1079,ABKI
31,Energy,ABAN OFFSHORE LIMITED,ABAN,INE421A01028,ABAN
32,"Consumer, Non-cyclical",ABATTIS BIOCEUTICALS CORP,NOINFO,CA00258G1037,ATTBF
33,"Consumer, Non-cyclical",ABAXIS INC,ABAX,US0025671050,ABAX
34,Industrial,ABB LTD-SPON ADR,ABB,US0003752047,ABB
35,Communications,AUSSIE BROADBAND LTD,ABB,AU0000106643,ABB
36,Industrial,ABB INDIA LTD,ABB,INE117A01022,ABB
37,Industrial,ABB LTD-REG,ABB,CH0012221716,ABB
38,"Consumer, Non-cyclical",AB-BIOTICS SA,ABB,ES0109659013,ABB
39,"Consumer, Non-cyclical",ABBOTT INDIA LTD,ABBOTINDI,INE358A01014,ABBOTINDI
40,"Consumer, Non-cyclical",ABBOTT LABORATORIES .,ABT,US0028241000,ABT
41,Financial,COBRACREST AG & CO KGAA,ABT,DE000A0AHTE5,ABT
42,"Consumer, Non-cyclical",AQUA BIO TECHNOLOGY ASA,ABT,NO0010307135,ABT
43,"Consumer, Cyclical",ABITARE IN SPA,XETRA,IT0005445280,ABT
44,"Consumer, Non-cyclical",ABBVIE INC,ABBV,US00287Y1091,ABBV
45,Technology,ABBY INC,NOINFO,US00287T3086,ABBY
46,"Consumer, Cyclical",ABC-MART INC,2670,JP3152740001,2670
47,Industrial,ABCO ENERGY INC,CURRENT,US00287V4023,ABCE
48,Basic Materials,ABCOURT MINES INC -CL B,CURRENT,CA00288E3005,ABMBF
49,Basic Materials,ABEN RESOURCES LTD,CURRENT,CA00289T3064,ABNAF
50,"Consumer, Non-cyclical",ABEONA THERAPEUTICS INC,SCM,US00289Y2063,ABEO
51,"Consumer, Cyclical",ABEO SA,XETRA,FR0013185857,ABEO
52,"Consumer, Cyclical",ABERCROMBIE & FITCH CO-CL A,ANF,US0028962076,ANF
53,Basic Materials,ANFIELD GOLD CORP,ANF,CA03463Y1097,ANF
54,,ABRDN ASIAN INCOME FUND L,SSMM,GB00B0P6J834,AAIF
55,,ABERDEEN GREATER CHINA FUND,GCH,US0030311015,GCH
56,Financial,BANCA IFIS SPA,IF,IT0003188064,IF
57,,ABERDEEN INDONESIA FUND INC,IF,US00305P1066,IF
58,Financial,ABERDEEN INTERNATIONAL INC.,CURRENT,CA0030691012,AABVF
59,,ABERDEEN ISRAEL FUND INC,ISL,US00301L1098,ISL
60,,ABRDN JAPAN EQUITY FUND INC,JEQ,US00306J1097,JEQ
61,,ABRDN JAPAN INVESTMENT TRUST,SET3,GB0003920757,AJIT
62,,ABRDN ASIA FOCUS PLC,SSMM,GB00BMF19B58,AAS
63,Technology,ARTS ALLIANCE GK SA,AAS,PLMIDVN00017,AAS
64,,ABERFORTH SPLIT LEVEL INCOME,SSQ3,GB00BYPBD519,ASIZ
65,"Consumer, Non-cyclical",ABBOTT LABORATORIES .,XETRA,US0028241000,ABL
66,"Consumer, Non-cyclical",ABL GROUP ASA,ABL,NO0010715394,ABL
67,Industrial,ABILITY INC,ABIL,KYG8789K1242,ABIL
68,"Consumer, Non-cyclical",ABIOMED INC,NMS,US0036541003,ABMD
69,Basic Materials,ABITIBI ROYALTIES INC,RZZ,CA0036841074,RZZ
70,Energy,ABLE ENERGY INC,ABLE,US0037091024,ABLE
71,,NF TPX-17 ELECTRIC POWER&GAS,1627,JP3046660001,1627
72,Industrial,ABLE ENGINEERING HOLDINGS LT,1627,KYG0R8151046,1627
73,Basic Materials,ABEN RESOURCES LTD,ABN,CA00289T3064,ABN
74,Financial,ABN AMRO BANK NV-CVA,XETRA,NL0011540547,ABN
75,Industrial,ABO GROUP ENVIRONMENT,ABO,BE0974278104,ABO
76,Diversified,ABOITIZ EQUITY VENTURES-ADR,LIMITED,US0037253061,ABTZY
77,"Consumer, Cyclical",GOLDLION HOLDINGS LTD.,533,HK0533002009,533
78,"Consumer, Cyclical",ABR HOLDINGS LTD,533,SG0533000253,533
79,Basic Materials,ABRASILVER RESOURCE CORP,ABRA,CA00379L1067,ABRA
80,Technology,ABRA INFORMATION TECHNOLOGIE,ABRA,IL0011016669,ABRA
81,Energy,ABRAXAS PETROLEUM CORP,PRIMQX,US0038303048,AXAS
82,Industrial,ABSOLENT AIR CARE GROUP AB,ABSO,SE0006256558,ABSO
83,Financial,ABSOLUTE RETURN TRUST LTD,ABRL,GG00BCCW5806,ABRL
84,Energy,ABTERRA LTD,L5I,SG2C12961455,L5I
85,"Consumer, Cyclical",ABUNDANCE INTERNATIONAL LTD,541,SG1I02877971,541
86,Industrial,AC ENERGY INC,ACEN,US00389M1027,ACEN
87,"Consumer, Non-cyclical",AC IMMUNE SA,NMS,CH0329023102,ACIU
88,Communications,ACACIA COMMUNICATIONS INC,ACIA,US00401C1080,ACIA
89,"Consumer, Non-cyclical",ACACIA DIVERSIFIED HOLDINGS,NOINFO,US00389L1044,ACCA
90,"Consumer, Non-cyclical",ACACIA PHARMA GROUP PLC,ACPH,GB00BYWF9Y76,ACPH
91,"Consumer, Non-cyclical",ACACIA RESEARCH CORP,NMS,US0038813079,ACTG
92,"Consumer, Non-cyclical",ACADEMIES AUSTRALASIA GROUP,AKG,AU000000AKG9,AKG
93,"Consumer, Non-cyclical",ANDERSONS INC/THE,XETRA,US0341641035,AKG
94,"Consumer, Cyclical",AKG EXIM LTD,AKG,INE00Y801016,AKG
95,"Consumer, Non-cyclical",ACADIA HEALTHCARE CO INC,NMS,US00404A1097,ACHC
96,"Consumer, Non-cyclical",ACADIA PHARMACEUTICALS INC,NMS,US0042251084,ACAD
97,"Consumer, Non-cyclical",ACADEMEDIA AB,ACAD,SE0007897079,ACAD
98,Financial,ACADIA REALTY TRUST,AKR,US0042391096,AKR
99,Communications,ACKROO INC,AKR,CA00461T2074,AKR
100,Diversified,CARLOTZ INC,ACAMU,US0042852014,ACAMU
101,Financial,AUSTRALIAN ETHICAL INVT LTD,AEF,AU000000AEF4,AEF
102,,ABRDN EMERGING MARKETS EQUIT,AEF,US00301W1053,AEF
103,"Consumer, Cyclical",AEFFE SPA,AEF,IT0001384590,AEF
104,"Consumer, Non-cyclical",ACASTI PHARMA INC,SCM,CA00430K8730,ACST
105,Communications,ACCELERA INNOVATIONS INC,NOINFO,US00434W1053,ACNV
106,"Consumer, Non-cyclical",ACCELERON PHARMA INC,XLRN,US00434H1086,XLRN
107,"Consumer, Cyclical",ACCELL GROUP,ACCEL,NL0009767532,ACCEL
108,Technology,ACCELPATH INC,ACLP,US00433U2096,ACLP
109,Technology,ACCELYA SOLUTIONS INDIA LTD,ACCELYA,INE793A01012,ACCELYA
110,"Consumer, Cyclical",ACCENT GROUP LTD,AX1,AU000000AX19,AX1
111,"Consumer, Cyclical",ANIXTER INTL INC,XETRA,US0352901054,AX1
112,"Consumer, Non-cyclical",ACCENTIA BIOPHARMACEUTICALS,ABPI,US00430L1035,ABPI
113,Technology,ACCENTURE PLC-CL A,ACN,IE00B4BNMY34,ACN
114,Technology,ACCESS CO LTD,4813,JP3108060009,4813
115,"Consumer, Non-cyclical",ACCESS GROUP HOLDINGS CO LTD,7042,JP3108190004,7042
116,Energy,ACCESS-POWER & CO INC,CURRENT,US00431N1081,ACCR
117,Communications,ACCESSO TECHNOLOGY GROUP PLC,AMSM,GB0001771426,ACSO
118,Financial,ANANDA DEVELOPMENTS PLC,ANA,GB00BDQPXQ60,ANA
119,Industrial,ACCIONA SA,ANA,ES0125220311,ANA
120,"Consumer, Non-cyclical",ACCO BRANDS CORP,ACCO,US00081T1088,ACCO
121,"Consumer, Cyclical",ACCOR SA,ACCN,FR0000120404,ACCN
122,Communications,ACCRETE INC,4395,JP3108180005,4395
123,Industrial,ACCURACY SHIPPING LTD,ACCURACY,INE648Z01015,ACCURACY
124,"Consumer, Non-cyclical",ACCURAY INC,NMS,US0043971052,ARAY
125,"Consumer, Non-cyclical",ACE INTEGRATED SOLUTIONS LTD,ACEINTEG,INE543V01017,ACEINTEG
126,"Consumer, Non-cyclical",ACELRX PHARMACEUTICALS INC,NMS,US00444T1007,ACRX
127,"Consumer, Non-cyclical",ADECOAGRO SA,XETRA,LU0584671464,ACD
128,Financial,ACCORD FINANCIAL CORP,ACD,CA00435L1085,ACD
129,,ACENCIA DEBT STRATEGIES LTD,ACD,GB00B0MSB420,ACD
130,Technology,ACER INC-SPONSORED GDR REG S,IOBE,US0044342055,ACID
131,"Consumer, Non-cyclical",ACER THERAPEUTICS INC,SCM,US00444P1084,ACER
132,"Consumer, Non-cyclical",ACERUS PHARMACEUTICALS CORP,ASPCF,CA00444G4051,ASPCF
133,Industrial,ACESIAN PARTNERS LTD,5FW,SG1Q66923448,5FW
134,Industrial,ACHILLES CORP,5142,JP3108000005,5142
135,Industrial,ACI GLOBAL CORP,ACGJ,US0008751044,ACGJ
136,Technology,ACI WORLDWIDE INC,NMS,US0044981019,ACIW
137,Industrial,ACKERMANS & VAN HAAREN,ACKB,BE0003764785,ACKB
138,Communications,ACKROO INC,CURRENT,CA00461T2074,AKRFF
139,"Consumer, Non-cyclical",ACLARIS THERAPEUTICS INC,NMS,US00461U1051,ACRS
140,Technology,ACM RESEARCH INC-CLASS A,NMS,US00108J1097,ACMR
141,Industrial,ACMOS INC,6888,JP3108100003,6888
142,Industrial,FREETECH ROAD RECYCLING TECH,6888,KYG3728H1002,6888
143,Financial,ACNB CORP,SCM,US0008681092,ACNB
144,Financial,ACOM CO LTD,8572,JP3108600002,8572
145,Basic Materials,ACERINOX SA,ACX,ES0132105018,ACX
146,"Consumer, Cyclical",BET-AT-HOME.COM AG,ACX,DE000A0DNAY5,ACX
147,Technology,ACONEX LTD,ACX,AU000000ACX1,ACX
148,"Consumer, Non-cyclical",ACORDA THERAPEUTICS INC,NMS,US00484M6012,ACOR
149,Technology,ACORN ENERGY INC,ACFN,US0048481073,ACFN
150,Financial,ACRE REALTY INVESTORS INC,AIII,US00489F1066,AIII
151,Financial,ACREAGE HOLDINGS INC-SUB,ACRGF,CA00489Y4022,ACRGF
152,Technology,THE WHY HOW DO COMPANY INC,3823,JP3108120001,3823
153,Industrial,ACROW FORMWORK AND CONSTRUCT,ACF,AU0000006124,ACF
154,"Consumer, Cyclical",ACTIC GROUP AB,ATIC,SE0009269467,ATIC
155,"Consumer, Non-cyclical",ACTINIUM PHARMACEUTICALS INC,ATNM,US00507W2061,ATNM
156,"Consumer, Non-cyclical",ACTINOGEN MEDICAL LTD,ACW,AU000000ACW3,ACW
157,"Consumer, Cyclical",ACCURIDE CORP,ACW,US00439T2069,ACW
158,Utilities,ACEA SPA,ACE,IT0001207098,ACE
159,"Consumer, Non-cyclical",ACCIDENT EXCHANGE GROUP PLC,ACE,GB00B00LL325,ACE
160,Industrial,ACTION CONSTRUCTION EQUIPMEN,ACE,INE731H01025,ACE
161,"Consumer, Non-cyclical",ASCELIA PHARMA AB,ACE,SE0010573113,ACE
162,Financial,AEGON N.V.-NY REG SHR,AEG,US0079241032,AEG
163,,ABSOLUTE EQUITY PERFORMANCE,AEG,AU000000AEG2,AEG
164,"Consumer, Cyclical",AEGIS BRANDS INC,AEG,CA00775H1055,AEG
165,Energy,ACTIVE ENERGY GROUP PLC,ASQ1,GB00BPG7NS80,AEG
166,"Consumer, Non-cyclical",ACTIVECARE INC,ACARQ,US0050573023,ACARQ
167,Financial,ACTIVIA PROPERTIES INC,3279,JP3047490002,3279
168,Technology,ACTIVISION BLIZZARD INC,NMS,US00507V1098,ATVI
169,Industrial,ACUITY BRANDS INC,AYI,US00508Y1029,AYI
170,Financial,A1 INVESTMENTS & RESOURCES L,AYI,AU000000AYI6,AYI
