,isindb-Title,isindb-ISIN,isindb-Country,isindb-Description,isindb-Type
0,3M,US88579Y1010,United States,"Equity, ISIN US88579Y1010, WKN 851745, MMM",Equity
0,,US00089Y1091,US,COM,
0,,US00202F1021,US,ADR,
0,,FR0010050773,FR,ORDINARY SHARE EUR 1,
0,,SG1S12926576,SG,ORDINARY SHARE,
0,,KYG2953R1149,KY,SHS NEW,
0,AAG ENERGY HOLDINGS LIMITED,KYG000371040,Cayman Islands,,
0,,US0003602069,,COM PAR $0.004,
0,,GB00B9GQVG73,Greece,ORD GBP0.01,Par Value
0,,AU000000ABP9,Australia,Real Estate Investment Trusts (Reits),
0,PANERA BREAD CO. A,US69840W1080,United States,"Equity, ISIN US69840W1080, WKN 882047, ABP",Equity
0,ABAKAN INC.,US00258J1079,UNITED STATES OF AMERICA,SHS ABAKAN INC ORD REG,EQUITY
0,,CA00258G1037,CANADA,SHS ABATTIS BIOCEUTICALS CORP ORD REG,EQUITY
0,ABAXIS INC.,US0025671050,United States,"Equity, ISIN US0025671050, WKN 883404, AXS",Equity
0,"ABB LTD ADR SF 2,50",US0003752047,United States,"Equity, ISIN US0003752047, WKN 675089, ABJA",Equity
0,ABB Ltd.,CH0012221716,Switzerland,"Equity, ISIN CH0012221716, WKN 919730, ABJ",Equity
0,AB BIOTICS SA,ES0109659013,SPAIN,SHS AB BIOTICS SA ORD BR,EQUITY
0,Abbott Laboratories,US0028241000,United States,"Equity, ISIN US0028241000, WKN 850103, ABL",Equity
0,Cobracrest AG & Co. KGaA,DE000A0AHTE5,Germany,"Equity, ISIN DE000A0AHTE5, WKN A0AHTE, ABT",Equity
0,AQUA BIO TECHNOLOGY NK-20,NO0010307135,Norway,"Equity, ISIN NO0010307135, WKN A0NBAT, 3FZ",Equity
0,,US00287Y1091,,COM,
0,,JP3152740001,Japan,COM STK,
0,ABCOURT MNS CLASS B,CA00288E3005,Canada,"Equity, ISIN CA00288E3005, WKN 862198, AML",Equity
0,ABERCROMBIE + FITCH A,US0028962076,United States,"Equity, ISIN US0028962076, WKN 903016, AFT",Equity
0,,GB00B0P6J834,Jersey,ORD NPV,NPV
0,BANCA IFIS,IT0003188064,ITALY,SHS BANCA IFIS SPA,EQUITY
0,,US00305P1066,UNITED STATES OF AMERICA,SHS ABERDEEN INDONESIA FUND INC.,EQUITY
0,ABERDEEN INTL INC.,CA0030691012,Canada,"Equity, ISIN CA0030691012, WKN A0HG70, A8H",Equity
