,OpenFigi-OpenFigi-figi,OpenFigi-OpenFigi-name,OpenFigi-OpenFigi-ticker,OpenFigi-OpenFigi-exchCode,OpenFigi-OpenFigi-compositeFIGI,OpenFigi-OpenFigi-securityType,OpenFigi-OpenFigi-marketSector,OpenFigi-OpenFigi-shareClassFIGI,OpenFigi-OpenFigi-securityType2,OpenFigi-OpenFigi-securityDescription,OpenFigi-OpenFigi-uniqueID,OpenFigi-OpenFigi-uniqueIDFutOpt
0,BBG008HNLRF4,1ST GROUP LTD,1ST,AU,BBG008HNLRF4,Common Stock,Equity,BBG008HNLRG3,Common Stock,1ST,,
1,BBG001KS9450,2U INC,TWOU,US,BBG001KS9450,Common Stock,Equity,BBG001V0RR30,Common Stock,TWOU,,
2,BBG000C129N6,3DX INDUSTRIES INC,DDDX,US,BBG000C129N6,Common Stock,Equity,BBG001STRH79,Common Stock,DDDX,,
3,BBG000BP52R2,3M CO,MMM,US,BBG000BP52R2,Common Stock,Equity,BBG001S5T7X2,Common Stock,MMM,,
4,BBG00L33THJ4,MARLEY SPOON AG-CDI,MMM,AU,BBG00L33THJ4,CDI,Equity,BBG00L33THR5,Depositary Receipt,MMM,,
5,BBG000BBK8C9,MINCO CAPITAL CORP,MMM,CN,BBG000BBK8C9,Common Stock,Equity,BBG001S5ZLY3,Common Stock,MMM,,
6,BBG00S6QT574,MINING MINERALS & METALS PLC,MMM,LN,BBG00S6QT565,Common Stock,Equity,BBG00S6QT5D7,Common Stock,MMM,,
7,BBG000BWTTK9,88 ENERGY LTD,POQ,GR,BBG000BWTTK9,Common Stock,Equity,BBG001SCV1F7,Common Stock,POQ,,
8,BBG0073FB9K3,A CLASSIFIED AD INC,AQFD,US,BBG0073FB9K3,Common Stock,Equity,BBG0073FB9L2,Common Stock,AQFD,,
9,BBG00NG9S234,BIRDMAN INC,7063,JP,BBG00NG9S234,Common Stock,Equity,BBG00NG9S261,Common Stock,7063,,
10,BBG000PNF9F9,A P MOLLER-MAERSK-B-UNSP ADR,AMKBY,US,BBG000PNF9F9,ADR,Equity,BBG001T3PMB1,Depositary Receipt,AMKBY,,
11,BBG000JZMKC9,A TOUTE VITESSE-ATV,MLATV,FP,BBG000JZMJG8,Common Stock,Equity,BBG001SJDS90,Common Stock,MLATV,,
12,,,,,,,,,,,,
